date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:08	94/94	---MCZ	200	added ('OK')	text/plain	date:Sun,%2014%20Aug%202022%2020:12:08%20GMT	https://multifix-link.com/robots.txt		(from )
21:12:09	28903/28903	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20May%202022%2000:57:45%20GMT	https://multifix-link.com/en/	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/index.html	(from )
21:12:09	1238263/1238263	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20May%202022%2004:51:02%20GMT	https://multifix-link.com/en/assets/css/nicepage.css	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/assets/css/nicepage.css	(from https://multifix-link.com/en/)
21:12:10	22745/22745	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20May%202022%2004:51:04%20GMT	https://multifix-link.com/en/assets/css/blockchain-node.css	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/assets/css/blockchain-node.css	(from https://multifix-link.com/en/)
21:12:10	150952/150952	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20May%202022%2004:51:04%20GMT	https://multifix-link.com/en/assets/js/jquery.js	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/assets/js/jquery.js	(from https://multifix-link.com/en/)
21:12:11	315801/315801	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20May%202022%2004:51:06%20GMT	https://multifix-link.com/en/assets/js/nicepage.js	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/assets/js/nicepage.js	(from https://multifix-link.com/en/)
21:12:12	1103/1103	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2004:51:08%20GMT	https://multifix-link.com/en/assets/images/favicon.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/assets/images/favicon.png	(from https://multifix-link.com/en/)
21:12:22	62032/62032	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Aug%202022%2020:12:19%20GMT	https://multifix-link.com/en/blockchain-node.html	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/blockchain-node.html	(from https://multifix-link.com/en/)
21:12:23	98760/98760	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2004:51:06%20GMT	https://multifix-link.com/en/assets/images/logo.png	C:/Users/User/Documents/WEB3/Adekunle%20travel/multifix-link.com/en/assets/images/logo.png	(from https://multifix-link.com/en/)
21:12:24	214231/214231	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b18f0482422d07d9a71b4922ad2b6125%22	https://widgets.coingecko.com/coingecko-coin-price-marquee-widget.js	C:/Users/User/Documents/WEB3/Adekunle%20travel/widgets.coingecko.com/coingecko-coin-price-marquee-widget.js	(from https://multifix-link.com/en/)
